FullStreetName,file,n_points,n_inlets,n_sags,n_served,n_unserved,length_m,kb
BAYWOOD CM,BAYWOOD_CM.html,34,0,0,0,0,32.7,22.5
TECHNOLOGY DR,TECHNOLOGY_DR.html,259,0,1,0,1,257.9,40.5
TEAL CT,TEAL_CT.html,73,0,0,0,0,72.1,24.8
TARRANGO ST,TARRANGO_ST.html,53,0,0,0,0,51.6,23.8
BETHAL PL,BETHAL_PL.html,76,0,0,0,0,75.0,24.9
NB ISABEL ON I580 EB,NB_ISABEL_ON_I580_EB.html,520,0,1,0,1,519.5,53.4
NAPLES WY,NAPLES_WY.html,194,0,0,0,0,192.0,30.7
NAPLES CT,NAPLES_CT.html,49,0,0,0,0,47.8,23.5
NANCY ST,NANCY_ST.html,52,0,0,0,0,51.2,23.8
N S ST,N_S_ST.html,173,0,0,0,0,200.9,29.6
N OUTER LOOP,N_OUTER_LOOP.html,1977,0,2,0,2,2066.6,121.0
EMORY WY,EMORY_WY.html,195,0,0,0,0,194.3,30.5
BARBER ST,BARBER_ST.html,189,0,0,0,0,187.8,29.8
BANYON CM,BANYON_CM.html,41,0,0,0,0,40.3,22.9
BAFFIN WY,BAFFIN_WY.html,82,0,0,0,0,81.1,25.0
THUNDERBIRD LN,THUNDERBIRD_LN.html,1220,0,2,0,2,1241.4,85.6
TERRA BELLA CT,TERRA_BELLA_CT.html,160,0,0,0,0,158.7,29.1
TENTH ST,TENTH_ST.html,567,0,3,0,3,2799.4,55.5
BELL AV,BELL_AV.html,356,0,0,0,0,354.3,38.0
FIRENZA ST,FIRENZA_ST.html,256,0,0,0,0,252.9,33.1
FELICIA CT,FELICIA_CT.html,22,0,0,0,0,21.3,22.0
FARMINGTON PL,FARMINGTON_PL.html,62,0,0,0,0,60.8,24.4
MULQUEENEY CM,MULQUEENEY_CM.html,238,0,0,0,0,237.0,32.6
MORGAN CM,MORGAN_CM.html,318,0,0,0,0,317.6,36.5
ELIZABETH CT,ELIZABETH_CT.html,50,0,0,0,0,48.7,23.7
ELEVENTH ST,ELEVENTH_ST.html,221,0,0,0,0,219.4,31.9
N INNER LOOP,N_INNER_LOOP.html,866,0,0,0,0,951.8,62.7
N GREENVILLE RD ,N_GREENVILLE_RD__1.html,33,0,0,0,0,32.4,22.6
FLINT ST,FLINT_ST.html,88,0,0,0,0,86.4,25.6
FLICKER CT,FLICKER_CT.html,25,0,0,0,0,23.5,22.1
FLANDERS WY,FLANDERS_WY.html,204,0,0,0,0,202.9,31.1
TOULON CT,TOULON_CT.html,47,0,0,0,0,45.6,23.4
TOKAY CM,TOKAY_CM.html,125,0,0,0,0,123.9,27.3
TOIYABE CT,TOIYABE_CT.html,39,0,0,0,0,38.1,23.0
TOBRUK CT,TOBRUK_CT.html,38,0,0,0,0,36.6,23.0
TIOGA PASS CT,TIOGA_PASS_CT.html,120,0,0,0,0,119.5,27.0
FINCH WY,FINCH_WY.html,82,0,0,0,0,81.1,25.2
