FullStreetName,file,n_points,n_inlets,n_sags,n_served,n_unserved,length_m,kb
MARINI LN,MARINI_LN.html,156,5,0,0,0,154.2,39.7
AMBERWOOD WY,AMBERWOOD_WY.html,382,5,0,0,0,380.9,50.6
AMALFI CM,AMALFI_CM.html,80,5,0,0,0,79.3,42.4
WHIPPOORWILL ST,WHIPPOORWILL_ST.html,173,5,0,0,0,171.9,40.2
DEER HOLLOW LN,DEER_HOLLOW_LN.html,182,5,0,0,0,180.1,41.1
PEARY WY,PEARY_WY.html,336,5,0,0,0,332.8,48.2
DEL MONTE ST,DEL_MONTE_ST.html,577,5,1,1,0,570.6,63.8
YORKSHIRE CT,YORKSHIRE_CT.html,102,5,0,0,0,101.5,43.8
HOYA CM,HOYA_CM.html,76,5,0,0,0,75.0,36.1
HUNTINGTON WY,HUNTINGTON_WY.html,405,5,0,0,0,401.7,51.2
YELLOWSTONE WY,YELLOWSTONE_WY.html,113,4,0,0,0,111.5,37.5
AGATHA WY,AGATHA_WY.html,239,4,0,0,0,236.8,49.6
ABERDEEN AV,ABERDEEN_AV.html,475,4,0,0,0,471.7,52.8
PERCHERON RD,PERCHERON_RD.html,212,4,0,0,0,209.3,42.3
DAVIS WY,DAVIS_WY.html,366,4,1,1,0,362.4,55.3
PEARL DR,PEARL_DR.html,481,4,1,1,0,477.8,60.7
WINDING STREAM CT,WINDING_STREAM_CT.html,141,4,0,0,0,140.2,38.6
ANDREA CI,ANDREA_CI.html,510,4,0,0,0,507.4,55.4
WHITE FANG WY,WHITE_FANG_WY.html,185,4,0,0,0,184.1,40.6
WHIPPOORWILL CT,WHIPPOORWILL_CT.html,86,4,0,0,0,85.0,36.2
ALSACE CT,ALSACE_CT.html,149,4,0,0,0,147.9,45.4
ALMADEN WY,ALMADEN_WY.html,241,4,1,1,0,240.0,49.5
HYACINTH CT,HYACINTH_CT.html,92,4,0,0,0,90.7,36.5
MEADOW GLEN DR,MEADOW_GLEN_DR.html,282,4,0,0,0,389.2,45.5
CALLA LILY CM,CALLA_LILY_CM.html,27,4,0,0,0,26.1,33.0
CALIBRIA CT,CALIBRIA_CT.html,92,4,0,0,0,91.3,36.2
CALDERON CT,CALDERON_CT.html,93,4,0,0,0,91.4,36.3
SHANNON CT,SHANNON_CT.html,124,4,1,1,0,122.4,50.5
SMOKE BELLEW RD,SMOKE_BELLEW_RD.html,169,4,0,0,0,167.4,39.9
SINGING HILLS AV,SINGING_HILLS_AV.html,351,4,0,0,0,350.2,48.1
SILVER SAGE CT,SILVER_SAGE_CT.html,72,4,0,0,0,71.6,35.5
SHOEMAKER DR,SHOEMAKER_DR.html,178,4,0,0,0,174.8,40.9
MEADOW CT,MEADOW_CT.html,120,4,0,0,0,118.9,37.7
MAYTEN DR,MAYTEN_DR.html,318,4,0,0,0,317.3,46.9
FOSCALINA WY,FOSCALINA_WY.html,57,4,0,0,0,55.6,34.6
MARLYS CM,MARLYS_CM.html,72,4,0,0,0,71.1,42.0
ST GEORGE CT,ST_GEORGE_CT.html,88,4,0,0,0,86.9,36.6
SPINEL CT,SPINEL_CT.html,41,4,0,0,0,39.7,34.0
SPARROW ST,SPARROW_ST.html,235,4,0,0,0,233.4,43.3
SONIC AV,SONIC_AV.html,235,4,1,1,0,234.8,49.4
MARALISA CT,MARALISA_CT.html,108,4,0,0,0,106.4,37.2
MALLARD CT,MALLARD_CT.html,57,4,0,0,0,56.1,34.7
MAGNOLIA CM,MAGNOLIA_CM.html,69,4,0,0,0,68.0,35.5
MADISON AV,MADISON_AV.html,630,4,1,1,0,621.1,66.2
GARDENIA CM,GARDENIA_CM.html,28,4,0,0,0,27.3,39.6
BLUFFS DR,BLUFFS_DR.html,308,4,0,0,0,304.3,46.6
STOCKHOLM RD,STOCKHOLM_RD.html,69,4,0,0,0,67.9,41.9
STATION ST,STATION_ST.html,45,4,0,0,0,43.4,34.2
LOUVRE LN,LOUVRE_LN.html,96,4,0,0,0,94.9,43.1
FIRESTONE RD,FIRESTONE_RD.html,390,4,0,0,0,389.1,49.6
FIELDSTONE DR,FIELDSTONE_DR.html,67,4,0,0,0,66.4,35.2
CAPITOL ST,CAPITOL_ST.html,134,4,0,0,0,132.9,38.5
CAMEO DR,CAMEO_DR.html,430,4,1,1,0,426.3,58.4
CAMELIA DR,CAMELIA_DR.html,619,4,1,1,0,612.8,65.9
CALLE DE LAS GRANVAS,CALLE_DE_LAS_GRANVAS.html,150,4,0,0,0,148.4,39.5
MIMOSA ST,MIMOSA_ST.html,145,4,0,0,0,141.9,38.8
MILAN CT,MILAN_CT.html,142,4,0,0,0,140.6,45.6
FALLEN LEAF DR,FALLEN_LEAF_DR.html,91,4,0,0,0,89.7,36.4
MT DIABLO WY,MT_DIABLO_WY.html,269,4,0,0,0,265.1,44.2
MT DAY DR,MT_DAY_DR.html,103,4,0,0,0,102.5,37.1
MONTROSE PL,MONTROSE_PL.html,212,4,1,1,0,211.0,48.6
CASCINA CT,CASCINA_CT.html,58,4,0,0,0,57.1,34.7
CARTIER DR,CARTIER_DR.html,220,4,0,0,0,218.4,48.4
CAROL CM,CAROL_CM.html,59,4,0,0,0,58.0,34.8
LOS ALAMOS AV,LOS_ALAMOS_AV.html,582,4,0,0,0,579.8,59.1
SUSAN LN,SUSAN_LN.html,202,4,0,0,0,200.8,48.3
BLOSSOM CI,BLOSSOM_CI.html,187,4,0,0,0,186.2,40.9
